IDKlienta,NazwaKlienta,Segment,Region,Opiekun,IDGeografii
K0336,Studio Artur Kołodziej,Detal,Zachód,Mateusz Grabowski,G04
K0337,Lumen Group Sp. z o.o.,B2B,Północ,Karolina Jabłońska,G01
K0338,Sklep Filip Bednarek,B2C,Południe,Adam Michalski,G02
K0339,Vector Group S.A.,VIP,Polnoc,Natalia Nowicka,G03
K0340,Atelier Igor Kruk,Detal,Zachód,Rafał Wieczorek,G04
K0341,Baltic Partner Sp. z o.o.,B2B,Północ,Anna Wiśniewska,G01
K0342,Pracownia Mariusz Zawadzki,B2C,Południe,Tomasz Kowalski,G02
K0343,Vertex Partner Sp. z o.o.,VIP,Wschód,Katarzyna Kamińska,G03
K0344,Biuro Michał Woźniak,Detal,Zachód,Michał Lewandowski,G04
K0345,Proxima Partner S.A.,B2B,Północ,Joanna Zielińska,G01
K0346,Studio Paweł Marciniak,B2C,Południe,Piotr Szymański,G02
K0347,Vistula Partner Sp. z o.o.,VIP,Wschód,Magdalena Dąbrowska,G03
K0348,Sklep Krzysztof Wieczorek,Detal,Zachód,Paweł Woźniak,G04
K0349,Nexus Partner Sp. z o.o.,B2B,Północ,Agnieszka Jankowska,G01
K0350,Atelier Mateusz Matuszewski,B2C,Południe,Marcin Kozłowski,G02
K0351,Metrum Partner S.A.,VIP,Wschód,Ewa Kwiatkowska,G03
K0352,Pracownia Rafał Górski,Detal,Zachód,Krzysztof Mazur,G04
K0353,Sfera Partner Sp. z o.o.,B2B,Północ,Monika Pawłowska,G01
K0354,Biuro Daniel Szczepański,B2C,Południe,Jakub Krawczyk,G02
K0355,Viva Partner Sp. z o.o.,VIP,Wschód,Aleksandra Piotrowska,G03
K0356,Studio Marek Chmielewski,Detal,Zachód,Mateusz Grabowski,G04
K0357,Lumen Partner S.A.,B2B,Północ,Karolina Jabłońska,G01
K0358,Sklep Andrzej Mazur,B2C,Południe,Adam Michalski,G02
K0359,Vector Partner Sp. z o.o.,VIP,Wschód,Natalia Nowicka,G03
K0360,Atelier Cezary Kaźmierczak,Detal,Zachód,Rafał Wieczorek,G04
K0361,Baltic Systemy Sp. z o.o.,B2B,Północ,Anna Wiśniewska,G01
K0362,Pracownia Grzegorz Kaczmarek,B2C,Południe,Tomasz Kowalski,G02
K0363,Vertex Systemy S.A.,VIP,Wschód,Katarzyna Kamińska,G03
K0364,Biuro Jerzy Mikołajczyk,Detal,Zachód,Michał Lewandowski,G04
K0365,Proxima Systemy Sp. z o.o.,B2B,Północ,Joanna Zielińska,G01
K0366,Studio Konrad Bąk,B2C,Południe,Piotr Szymański,G02
K0367,Vistula Systemy Sp. z o.o.,VIP,Wschód,Magdalena Dąbrowska,G03
K0368,Sklep Norbert Kowalski,Detal,Zachód,Paweł Woźniak,G04
K0369,Nexus Systemy S.A.,B2B,Północ,Agnieszka Jankowska,G01
K0370,Atelier Przemysław Witkowski,B2C,Południe,Marcin Kozłowski,G02
K0371,Metrum Systemy Sp. z o.o.,VIP,Wschód,Ewa Kwiatkowska,G03
K0372,Pracownia Waldemar Grabowski,Detal,Zachód,Krzysztof Mazur,G04
K0373,Sfera Systemy Sp. z o.o.,B2B,Północ,Monika Pawłowska,G01
K0374,Biuro Artur Kubiak,B2C,Południe,Jakub Krawczyk,G02
K0375,Viva Systemy S.A.,VIP,Wschód,Aleksandra Piotrowska,G03
K0376,Studio Filip Wróbel,Detal,Zachód,Mateusz Grabowski,G04
K0377,Lumen Systemy Sp. z o.o.,B2B,Północ,Karolina Jabłońska,G01
K0378,Sklep Igor Walczak,B2C,Południe,Adam Michalski,G02
K0379,Vector Systemy Sp. z o.o.,VIP,Wschód,Natalia Nowicka,G03
K0380,Atelier Mariusz Gajewski,Detal,Zachód,Rafał Wieczorek,G04
K0381,Baltic Dystrybucja S.A.,B2B,Północ,Anna Wiśniewska,G01
K0382,Pracownia Michał Szymański,B2C,Południe,Tomasz Kowalski,G02
K0383,Vertex Dystrybucja Sp. z o.o.,VIP,Wschód,Katarzyna Kamińska,G03
K0384,Biuro Paweł Urbański,Detal,Zachód,Michał Lewandowski,G04
K0385,Proxima Dystrybucja Sp. z o.o.,B2B,Północ,Joanna Zielińska,G01
K0386,Studio Krzysztof Michalski,B2C,Południe,Piotr Szymański,G02
K0387,Vistula Dystrybucja S.A.,VIP,Wschód,Magdalena Dąbrowska,G03
K0388,Sklep Mateusz Rosiński,detal,Zachód,Paweł Woźniak,G04
K0389,Nexus Dystrybucja Sp. z o.o.,B2B,Północ,Agnieszka Jankowska,G01
K0390,Atelier Rafał Sikora,B2C,Południe,Marcin Kozłowski,G02
K0391,Metrum Dystrybucja Sp. z o.o.,VIP,Wschód,Ewa Kwiatkowska,G03
K0392,Pracownia Daniel Błaszczyk,Detal,Zachód,Krzysztof Mazur,G04
K0393,Sfera Dystrybucja S.A.,B2B,Północ,Monika Pawłowska,G01
K0394,Biuro Marek Sadowski,B2C,Południe,Jakub Krawczyk,G02
K0395,Viva Dystrybucja Sp. z o.o.,VIP,Wschód,Aleksandra Piotrowska,G03
K0396,Studio Andrzej Kozłowski,Detal,Zachód,Mateusz Grabowski,G04
K0397,Lumen Dystrybucja Sp. z o.o.,B2B,Północ,Karolina Jabłońska,G01
K0398,Sklep Cezary Sobczak,B2C,Południe,Adam Michalski,G02
K0399,Vector Dystrybucja S.A.,VIP,Wschód,Natalia Nowicka,G03
K0400,Atelier Grzegorz Majewski,Detal,Zachód,Rafał Wieczorek,G04
K0401,Baltic Solutions Sp. z o.o.,B2B,Północ,Anna Wiśniewska,G01
K0402,Pracownia Jerzy Pietrzak,B2C,Południe,Tomasz Kowalski,G02
K0403,Vertex Solutions Sp. z o.o.,VIP,Wschód,Katarzyna Kamińska,G03
K0404,Biuro Konrad Czarnecki,Detal,Zachód,Michał Lewandowski,G04
K0405,Proxima Solutions S.A.,B2B,Północ,Joanna Zielińska,G01
K0406,Studio Norbert Nowak,B2C,Południe,Piotr Szymański,G02
K0407,Vistula Solutions Sp. z o.o.,VIP,Wschód,Magdalena Dąbrowska,G03
K0408,Sklep Przemysław Borkowski,Detal,Zachód,Paweł Woźniak,G04
K0409,Nexus Solutions Sp. z o.o.,B2B,Północ,Agnieszka Jankowska,G01
K0410,Atelier Waldemar Krawczyk,B2C,Południe,Marcin Kozłowski,G02
K0411,Metrum Solutions S.A.,VIP,Wschód,Ewa Kwiatkowska,G03
K0412,Pracownia Artur Wasilewski,Detal,Zachód,Krzysztof Mazur,G04
K0413,Sfera Solutions Sp. z o.o.,B2B,Północ,Monika Pawłowska,G01
K0414,Biuro Filip Lis,B2C,Południe,Jakub Krawczyk,G02
K0415,Viva Solutions Sp. z o.o.,VIP,Wschód,Aleksandra Piotrowska,G03
K0416,Studio Igor Adamczyk,Detal,Zachód,Mateusz Grabowski,G04
K0417,Lumen Solutions S.A.,B2B,Północ,Karolina Jabłońska,G01
K0418,Sklep Mariusz Baran,B2C,Południe,Adam Michalski,G02
K0419,Vector Solutions Sp. z o.o.,VIP,Wschód,Natalia Nowicka,G03
K0420,Atelier Michał Lewandowski,Detal,Zachód,Rafał Wieczorek,G04
K0421,Baltic Trade Sp. z o.o.,B2B,Północ,Anna Wiśniewska,G01
K0422,Pracownia Paweł Cieślak,B2C,Południe,Tomasz Kowalski,G02
K0423,Vertex Trade S.A.,VIP,Wschód,Katarzyna Kamińska,G03
K0424,Biuro Krzysztof Zając,Detal,Zachód,Michał Lewandowski,G04
K0425,Proxima Trade Sp. z o.o.,B2B,Północ,Joanna Zielińska,G01
K0426,Studio Mateusz Kołodziej,B2C,Południe,Piotr Szymański,G02
K0427,Vistula Trade Sp. z o.o.,VIP,Wschód,Magdalena Dąbrowska,G03
K0428,Sklep Rafał Bednarek,Detal,Zachód,Paweł Woźniak,G04
K0429,Nexus Trade S.A.,B2B,Północ,Agnieszka Jankowska,G01
K0430,Atelier Daniel Kruk,B2C,Południe,Marcin Kozłowski,G02
K0431,Metrum Trade Sp. z o.o.,VIP,Wschód,Ewa Kwiatkowska,G03
K0432,Pracownia Marek Zawadzki,Detal,Zachód,Krzysztof Mazur,G04
K0433,Sfera Trade Sp. z o.o.,B2B,Północ,Monika Pawłowska,G01
K0434,Biuro Andrzej Woźniak,B2C,Południe,Jakub Krawczyk,G02
K0435,Viva Trade S.A.,VIP,Wschód,Aleksandra Piotrowska,G03
K0436,Studio Cezary Marciniak,Detal,Zachód,Mateusz Grabowski,G04
K0437,Lumen Trade Sp. z o.o.,B2B,Północ,Karolina Jabłońska,G01
K0438,Sklep Grzegorz Wieczorek,B2C,Południe,Adam Michalski,G02
K0439,Vector Trade Sp. z o.o.,VIP,Wschód,Natalia Nowicka,G03
K0440,Atelier Jerzy Matuszewski,Detal,Zachód,Rafał Wieczorek,G04
K0441,Baltic Logistics S.A.,B2B,Północ,Anna Wiśniewska,G01
K0442,Pracownia Konrad Górski,B2C,Południe,Tomasz Kowalski,G02
K0443,Vertex Logistics Sp. z o.o.,VIP,Wschód,Katarzyna Kamińska,G03
K0444,Biuro Norbert Szczepański,Detal,Zachód,Michał Lewandowski,G04
K0445,Proxima Logistics Sp. z o.o.,B2B,Północ,Joanna Zielińska,G01
K0446,Studio Przemysław Chmielewski,B2C,Południe,Piotr Szymański,G02
K0447,Vistula Logistics S.A.,VIP,Wschód,Magdalena Dąbrowska,G03
K0448,Sklep Waldemar Mazur,Detal,Zachód,Paweł Woźniak,G04
K0449,Nexus Logistics Sp. z o.o.,B2B,Północ,Agnieszka Jankowska,G01
K0450,Atelier Artur Kaźmierczak,B2C,Południe,Marcin Kozłowski,G02
K0451,Metrum Logistics Sp. z o.o.,VIP,Wschód,Ewa Kwiatkowska,G03
K0452,Pracownia Filip Kaczmarek,Detal,Polnoc,Krzysztof Mazur,G04
K0453,Sfera Logistics S.A.,B2B,Północ,Monika Pawłowska,G01
K0454,Biuro Igor Mikołajczyk,B2C,Południe,Jakub Krawczyk,G02
K0455,Viva Logistics Sp. z o.o.,VIP,Wschód,Aleksandra Piotrowska,G03
K0456,Studio Mariusz Bąk,Detal,Zachód,Mateusz Grabowski,G04
K0457,Lumen Logistics Sp. z o.o.,B2B,Północ,Karolina Jabłońska,G01
K0458,Sklep Michał Kowalski,B2C,Południe,Adam Michalski,G02
K0459,Vector Logistics S.A.,VIP,Wschód,Natalia Nowicka,G03
K0460,Atelier Paweł Witkowski,Detal,Zachód,Rafał Wieczorek,G04
K0461,Baltic Technologie Sp. z o.o.,B2B,Północ,Anna Wiśniewska,G01
K0462,Pracownia Krzysztof Grabowski,B2C,Południe,Tomasz Kowalski,G02
K0463,Vertex Technologie Sp. z o.o.,VIP,Wschód,Katarzyna Kamińska,G03
K0464,Biuro Mateusz Kubiak,Detal,Zachód,Michał Lewandowski,G04
K0465,Proxima Technologie S.A.,B2B,Północ,Joanna Zielińska,G01
K0466,Studio Rafał Wróbel,B2C,Południe,Piotr Szymański,G02
K0467,Vistula Technologie Sp. z o.o.,VIP,Wschód,Magdalena Dąbrowska,G03
K0468,Sklep Daniel Walczak,Detal,Zachód,Paweł Woźniak,G04
K0469,Nexus Technologie Sp. z o.o.,B2B,Północ,Agnieszka Jankowska,G01
K0470,Atelier Marek Gajewski,B2C,Południe,Marcin Kozłowski,G02
K0471,Metrum Technologie S.A.,VIP,Wschód,Ewa Kwiatkowska,G03
K0472,Pracownia Andrzej Szymański,Detal,Zachód,Krzysztof Mazur,G04
K0473,Sfera Technologie Sp. z o.o.,B2B,Północ,Monika Pawłowska,G01
K0474,Biuro Cezary Urbański,B2C,Południe,Jakub Krawczyk,G02
K0475,Viva Technologie Sp. z o.o.,VIP,Wschód,Aleksandra Piotrowska,G03
K0476,Studio Grzegorz Michalski,Detal,Zachód,Mateusz Grabowski,G04
K0477,Lumen Technologie S.A.,B2B,Północ,Karolina Jabłońska,G01
K0478,Sklep Jerzy Rosiński,B2C,Południe,Adam Michalski,G02
K0479,Vector Technologie Sp. z o.o.,VIP,Wschód,Natalia Nowicka,G03
K0480,Atelier Konrad Sikora,Detal,Zachód,Rafał Wieczorek,G04
K0481,Baltic Serwis Sp. z o.o.,B2B,Północ,Anna Wiśniewska,G01
K0482,Pracownia Norbert Błaszczyk,B2C,Południe,Tomasz Kowalski,G02
K0483,Vertex Serwis S.A.,VIP,Wschód,Katarzyna Kamińska,G03
K0484,Biuro Przemysław Sadowski,Detal,Zachód,Michał Lewandowski,G04
K0485,Proxima Serwis Sp. z o.o.,b2b,Północ,Joanna Zielińska,G01
K0486,Studio Waldemar Kozłowski,B2C,Południe,Piotr Szymański,G02
K0487,Vistula Serwis Sp. z o.o.,VIP,Wschód,Magdalena Dąbrowska,G03
K0488,Sklep Artur Sobczak,Detal,Zachód,Paweł Woźniak,G04
K0489,Nexus Serwis S.A.,B2B,Północ,Agnieszka Jankowska,G01
K0490,Atelier Filip Majewski,B2C,Południe,Marcin Kozłowski,G02
K0491,Metrum Serwis Sp. z o.o.,VIP,Wschód,Ewa Kwiatkowska,G03
K0492,Pracownia Igor Pietrzak,Detal,Zachód,Krzysztof Mazur,G04
K0493,Sfera Serwis Sp. z o.o.,B2B,Północ,Monika Pawłowska,G01
K0494,Biuro Mariusz Czarnecki,B2C,Południe,Jakub Krawczyk,G02
K0495,Viva Serwis S.A.,VIP,Wschód,Aleksandra Piotrowska,G03
K0496,Studio Michał Nowak,Detal,Zachód,Mateusz Grabowski,G04
K0497,Lumen Serwis Sp. z o.o.,B2B,Północ,Karolina Jabłońska,G01
K0498,Sklep Paweł Borkowski,B2C,Południe,Adam Michalski,G02
K0499,Vector Serwis Sp. z o.o.,VIP,Wschód,Natalia Nowicka,G03
K0500,Atelier Krzysztof Krawczyk,Detal,Zachód,Rafał Wieczorek,G04
